district_code,district_name,ics_code,ics_short_name,ics_full_name
1406,Kampar,ICS-1406-01,APSS - Sei Galuh,APSS - Sei Galuh
1406,Kampar,ICS-1406-02,KUD Karya Sembada,KUD Karya Sembada
1406,Kampar,ICS-1406-03,KUD Hasrat Jaya Pagaruyung,KUD Hasrat Jaya Pagaruyung
1406,Kampar,ICS-1406-04,FORTASKI,FORTASKI
1406,Kampar,ICS-1406-05,FPS - Sei Garo,Forum Petani Sawit - Sei Garo
1406,Kampar,ICS-1406-06,KP KBM,Koperasi Produsen Kusuma Bakti Mandiri
1406,Kampar,ICS-1406-07,Kopsa Tri Manunggal,Kopsa Tri Manunggal
1406,Kampar,ICS-1406-08,TSL,Teratai Sawit Lestari
1406,Kampar,ICS-1406-09,PPKS-PBS,PPKS-Pangkalan Baru Sejahtera
1407,Rokan Hulu,ICS-1407-01,KUD Tujuh Permata,KUD Tujuh Permata
1407,Rokan Hulu,ICS-1407-02,KUD Intan Makmur,KUD Intan Makmur
1407,Rokan Hulu,ICS-1407-03,KUD Sawit Sejahtera,KUD Sawit Sejahtera
1407,Rokan Hulu,ICS-1407-04,FPSS Semarak Mudo,FPSS Semarak Mudo
1407,Rokan Hulu,ICS-1407-05,PPKSS Tayo Barokah,PPKSS Tayo Barokah
1407,Rokan Hulu,ICS-1407-06,APKASA Rayon SKPE,APKASA Rayon SKPE
1407,Rokan Hulu,ICS-1407-07,ASPEK RAS,ASPEK RAS
1407,Rokan Hulu,ICS-1407-08,ASPEK RSB,ASPEK RSB
1407,Rokan Hulu,ICS-1407-09,ASPEK KRE,ASPEK KRE
1405,Siak,ICS-1405-01,KPM KM,Koperasi Produsen Mandiri - Karya Maju
1405,Siak,ICS-1405-02,APKASDU,APKASDU
1405,Siak,ICS-1405-03,APKSMB,APKSMB
1405,Siak,ICS-1405-04,ASERMISAS,ASERMISAS
1405,Siak,ICS-1405-05,APKSSB,APKSSB
1405,Siak,ICS-1405-06,APKASAIBER,APKASAIBER
1405,Siak,ICS-1405-07,ASPEKSAB,ASPEKSAB
1405,Siak,ICS-1405-08,KP PKSJ,KP PKSJ
1405,Siak,ICS-1405-09,KBJ,Koperasi Beringin Jaya
1405,Siak,ICS-1405-10,KSJ,Koperasi Sawit Jaya
1404,Pelalawan,ICS-1404-01,KUD Mulia,Koperasi Unit Desa Mulia
