code,activity_code,activity_name,activity_weight,criteria_code,criteria_name,seq,level,name,weight,in_final_score,score_label_0,score_label_1,score_label_2,score_label_3,sort_order
"1.1.1.1","1.1","Knowledge (Petani dan Pekerja)","0.1","1.1.1","Petani dan Pekerja Mendapatkan Training","1","INDIVIDU","Sudah mendapatkan pelatihan sehingga mendapatkan penambahan pengetahuan","0.3","TRUE","Belum Training","Sudah Training Belum Paham","Sudah Training Sudah Paham","Sudah Impelementasi","10"
"1.1.1.2","1.1","Knowledge (Petani dan Pekerja)","0.1","1.1.1","Petani dan Pekerja Mendapatkan Training","2","LEMBAGA","Memiliki standard teknis kerja","0.7","TRUE","Belum Punya","Sudah ada draft, belum sosialisasi","Punya, namun belum menerapkan","Punya, sudah menerapkan","20"
"1.2.1.1","1.2","Pemupukan","0.35","1.2.1","Unit Managemen Perawatan","1","LEMBAGA","Tersedia 1 Unit Managemen Perawatan / Lembaga","","FALSE","Belum Punya","Rencana pembentukan","Sudah dibentuk belum berjalan","Sudah berjalan","30"
"1.2.2.1","1.2","Pemupukan","0.35","1.2.2","Memiliki rekomendasi pemupukan","1","LEMBAGA","Melakukan Leaf Sampling Unit (LSU) dan Soil Sampling Unit (SSU) -> Short Term","","FALSE","Belum ada","Rencana pra kegiatan","","Sudah dilaksanakan","40"
"1.2.2.2","1.2","Pemupukan","0.35","1.2.2","Memiliki rekomendasi pemupukan","2","INDIVIDU","Memiliki acuan / rekomendasi pupuk","0.35","TRUE","Belum Punya","","Rekomendasi : Benih : Punya LSU & SSU : Belum","Rekomendasi : Benih : Punya LSU & SSU : Punya","50"
"1.2.2.2","1.2","Pemupukan","0.35","1.2.2","Memiliki rekomendasi pemupukan","2","LEMBAGA","Acuan pemupukan dari institusi resmi (PPKS, Private sector, Dirjenbun) -> Long Term","","FALSE","Belum Punya","","Rekomendasi : Benih : Punya LSU & SSU : Belum","Rekomendasi : Benih : Punya LSU & SSU : Punya","60"
"1.2.3.1","1.2","Pemupukan","0.35","1.2.3","Penerapan BMP Pemupukan","1","INDIVIDU","Menerapkan metode 5 T (Tepat Waktu, Jenis, Dosis, Cara, Tempat)","0.35","TRUE","Belum","Minimal 1","Minimal 3","Semua","70"
"1.2.3.2","1.2","Pemupukan","0.35","1.2.3","Penerapan BMP Pemupukan","2","INDIVIDU","Menggunaan bahan organik (Pupuk organik, Kotoran hewan ternak, limbah PMKS seperti janjang kosong dan solid decanter)","0.15","TRUE","Belum","Punya pemahaman, belum menerapkan","Sudah menerapkan, namun belum sesuai ketentuan (dosis, teknis)","Sudah menerapkan, sesuai ketentuan","80"
"1.2.3.3","1.2","Pemupukan","0.35","1.2.3","Penerapan BMP Pemupukan","3","INDIVIDU","Melakukan substitusi pupuk kimia (persentase penurunan pemakaian)","0.15","TRUE","Belum","0.1","0.15","0.25","90"
"1.3.1.1","1.3","Pengendalian Gulma","0.1","1.3.1","Unit Management Perawatan","1","LEMBAGA","Tersedia 1 Unit Managemen Perawatan / Lembaga","","FALSE","Belum Punya","Rencana pembentukan","Sudah dibentuk belum berjalan","Sudah berjalan","100"
