id,provinceId,code,name
dist-kuansing,prov-riau,1401,Kabupaten Kuantan Singingi
dist-inhu,prov-riau,1402,Kabupaten Indragiri Hulu
dist-inhil,prov-riau,1403,Kabupaten Indragiri Hilir
dist-pelalawan,prov-riau,1404,Kabupaten Pelalawan
dist-siak,prov-riau,1405,Kabupaten Siak
dist-kampar,prov-riau,1406,Kabupaten Kampar
dist-rohul,prov-riau,1407,Kabupaten Rokan Hulu
dist-bengkalis,prov-riau,1408,Kabupaten Bengkalis
dist-rohil,prov-riau,1409,Kabupaten Rokan Hilir
dist-meranti,prov-riau,1410,Kabupaten Kepulauan Meranti
dist-pekanbaru,prov-riau,1471,Kota Pekanbaru
dist-dumai,prov-riau,1473,Kota Dumai
