id,district_id,code,abrv,abrv_3id,name,category,join_year,location_lat,location_long
ICS-1401-01,1401,ISH-1401-01,APSS,APSS,APSS - Sei Galuh,SWADAYA,2025,0.517449,101.202585
ICS-1401-02,1401,ISH-1401-02,KARSEM,KSM,KUD Karya Sembada,EX_PLASMA,2025,0.4895,101.1486111
ICS-1401-03,1401,ISH-1401-03,HJP,HJP,KUD Hasrat Jaya Pagaruyung,EX_PLASMA,2025,0.480721206,101.2387226
ICS-1401-04,1401,ISH-1401-04,FORTASKI,FK,FORTASKI,SWADAYA,2025,0.732621324,101.049581
ICS-1401-05,1401,ISH-1401-05,FPS SGO,SGO,Forum Petani Sawit  - Sei Garo,EX_PLASMA,2025,0.726355534,101.0701933
ICS-1401-06,1401,ISH-1401-06,KP KBM,KBM,Koperasi Produse - Kusuma Bakti Mandiri,EX_PLASMA,2025,0.27869,101.33762
ICS-1401-07,1401,ISH-1401-07,KTM,KTM,Kopsa Tri Manunggal,EX_PLASMA,2025,0.20813,101.31796
ICS-1401-08,1401,ISH-1401-08,TSL,TSL,TSL,SWADAYA,2025,0.52897,101.25276
ICS-1401-09,1401,ISH-1401-09,PBS,PBS,PPKS - Pangkalan Baru Sejahtera,SWADAYA,2025,0.37532,101.56719
ICS-1406-01,1406,ISH-1406-01,TJP,TJP,KUD Tujuh Permata,EX_PLASMA,2025,0.832635277,100.6935755
ICS-1406-02,1406,ISH-1406-02,ITM,ITM,KUD Intan Makmur,EX_PLASMA,2025,0.803820457,100.6909493
ICS-1406-03,1406,ISH-1406-03,SSJ,SSJ,KUD Sawit Sejahtera,EX_PLASMA,2025,0.800640383,100.7548624
ICS-1406-04,1406,ISH-1406-04,SM,SM,FPSS Semarak Mudo,SWADAYA,2025,0.606484154,100.6434664
ICS-1406-05,1406,ISH-1406-05,TBR,TBR,PPKSS Tayo Barokah,SWADAYA,2025,0.665371419,100.531296
ICS-1406-06,1406,ISH-1406-06,SKPE,SKPE,APKASA Rayon SKPE,SWADAYA,2025,1.208787,100.267494
ICS-1406-07,1406,ISH-1406-07,RAS,RAS,ASPEK RAS,SWADAYA,2025,1.255208,100.372411
ICS-1406-08,1406,ISH-1406-08,RSB,RSB,ASPEK RSB,SWADAYA,2025,0.811428725,100.4246671
ICS-1406-09,1406,ISH-1406-09,KRE,KRE,ASPEK KRE,SWADAYA,2025,0.554268656,100.415903
ICS-1408-01,1408,ISH-1408-01,KPM KM,KMJ,Koperasi Produsen Mandiri - Karya Maju,EX_PLASMA,2025,0.676377845,101.937
ICS-1408-02,1408,ISH-1408-02,APKASDU,DYN,APKASDU,SWADAYA,2025,0.666722222,101.8842222
ICS-1408-03,1408,ISH-1408-03,APKSMB,SMB,APKSMB,SWADAYA,2025,0.786551024,102.0218152
ICS-1408-04,1408,ISH-1408-04,ASERMISAS,MIS,ASERMISAS,EX_PLASMA,2025,0.68897,101.93464
ICS-1408-05,1408,ISH-1408-05,APKSSB,SSB,APKSSB,SWADAYA,2025,0.897194421,102.0312222
ICS-1408-06,1408,ISH-1408-06,APKASAIBER,SAI,APKASAIBER,SWADAYA,2025,1.070230374,102.1369409
ICS-1408-07,1408,ISH-1408-07,ASPEKSAB,SAB,ASPEKSAB,SWADAYA,2025,1.06479,102.08285
ICS-1408-08,1408,ISH-1408-08,KP PKSJ,RAP,KP PKSJ,SWADAYA,2025,0.89725,102.03722
ICS-1408-09,1408,ISH-1408-09,KBJ,KBJ,Koperasi Beringin Jaya,SWADAYA,2025,0.831322,102.0726964
ICS-1408-10,1408,ISH-1408-10,KSJ,KSJ,Koperasi Sawit Jaya,SWADAYA,2025,0.771694444,102.0533333
ICS-1405-01,1405,ISH-1405-01,KUD MULIA,KML,Koperasi Unit Desa Mulia,EX_PLASMA,2025,-0.086680189,102.144741
ICS-1405-10,1401,ISH-1405-10,KPUD Mojopahit,MJH,KPUD Mojopahit,SWADAYA,2026,0.56044,101.16172
ICS-1405-11,1401,ISH-1405-11,KPJ,KPJ,Kepau Jaya,SWADAYA,2026,0.30232,101.57281
