id,subdistrictId,code,name
vill-1401011011,subd-140101,1401011011,"Bangkinang (Bangkinang Kota)"
vill-1401011013,subd-140101,1401011013,"Langgini Sialang (Langgini)"
vill-1401012009,subd-140101,1401012009,"Kumantan"
vill-1401012010,subd-140101,1401012010,"Rindan Permai (Ridan Permai)"
vill-1401021027,subd-140102,1401021027,"Air Tiris"
vill-1401022001,subd-140102,1401022001,"Batu Belah"
vill-1401022003,subd-140102,1401022003,"Tanjung Berulak"
vill-1401022006,subd-140102,1401022006,"Ranah"
vill-1401022007,subd-140102,1401022007,"Penyasawan"
vill-1401022008,subd-140102,1401022008,"Rumbio"
vill-1401022013,subd-140102,1401022013,"Padang Mutung"
vill-1401022023,subd-140102,1401022023,"Pulau Jambu"
vill-1401022024,subd-140102,1401022024,"Tanjung Rambutan"
vill-1401022025,subd-140102,1401022025,"Simpang Kubu"
vill-1401022028,subd-140102,1401022028,"Limau Manis"
vill-1401022030,subd-140102,1401022030,"Naumbai"
vill-1401022031,subd-140102,1401022031,"Pulau Tinggi"
vill-1401022032,subd-140102,1401022032,"Ranah Baru"
vill-1401022033,subd-140102,1401022033,"Bukit Ranah"
vill-1401022034,subd-140102,1401022034,"Pulau Sarak"
vill-1401022035,subd-140102,1401022035,"Koto Tibun"
vill-1401022036,subd-140102,1401022036,"Ranah Singkuang"
vill-1401032001,subd-140103,1401032001,"Tambang"
vill-1401032002,subd-140103,1401032002,"Kuapan"
vill-1401032003,subd-140103,1401032003,"Gobah"
vill-1401032004,subd-140103,1401032004,"Teluk Kenidai"
vill-1401032005,subd-140103,1401032005,"Aursati"
vill-1401032006,subd-140103,1401032006,"Padang Luas"
vill-1401032007,subd-140103,1401032007,"Terantang"
vill-1401032008,subd-140103,1401032008,"Kualu"
vill-1401032009,subd-140103,1401032009,"Rimba/Rimbo Panjang"
vill-1401032010,subd-140103,1401032010,"Parit Baru"
vill-1401032011,subd-140103,1401032011,"Kemang Indah"
vill-1401032012,subd-140103,1401032012,"Kualu Nenas"
vill-1401032013,subd-140103,1401032013,"Tarai Bangun"
vill-1401032014,subd-140103,1401032014,"Sei/Sungai Pinang"
vill-1401032015,subd-140103,1401032015,"Balam Jaya"
vill-1401032016,subd-140103,1401032016,"Pulaupermai (Pulau Permai)"
vill-1401032017,subd-140103,1401032017,"Palungraya (Palung Raya)"
vill-1401041018,subd-140104,1401041018,"Batu Bersurat"
vill-1401042004,subd-140104,1401042004,"Gunung Bungsu"
vill-1401042005,subd-140104,1401042005,"Koto Tuo"
vill-1401042006,subd-140104,1401042006,"Balung"
vill-1401042007,subd-140104,1401042007,"Muara Takus"
vill-1401042010,subd-140104,1401042010,"Pulau Gadang"
vill-1401042011,subd-140104,1401042011,"Tanjung Alai"
vill-1401042012,subd-140104,1401042012,"Ranah Sungkai"
vill-1401042013,subd-140104,1401042013,"Lubuk Agung"
vill-1401042014,subd-140104,1401042014,"Koto Mesjid"
vill-1401042016,subd-140104,1401042016,"Pongkai Istiqomah"
vill-1401042017,subd-140104,1401042017,"Binamang"
vill-1401042019,subd-140104,1401042019,"Koto Tuo Barat"
vill-1401052001,subd-140105,1401052001,"Kuok"
vill-1401052005,subd-140105,1401052005,"Merangin"
vill-1401052006,subd-140105,1401052006,"Empat Balai"
vill-1401052007,subd-140105,1401052007,"Pulau Jambu"
vill-1401052008,subd-140105,1401052008,"Silam"
vill-1401052010,subd-140105,1401052010,"Bukit Melintang"
vill-1401052011,subd-140105,1401052011,"Pulau Terap (Pulautarap)"
vill-1401052012,subd-140105,1401052012,"Lereng"
vill-1401052013,subd-140105,1401052013,"Batulangka Kecil"
vill-1401062001,subd-140106,1401062001,"Pangkalan Baru"
vill-1401062002,subd-140106,1401062002,"Desa Baru"
vill-1401062003,subd-140106,1401062003,"Teratak Buluh"
vill-1401062005,subd-140106,1401062005,"Lubuk Siam"
vill-1401062006,subd-140106,1401062006,"Buluh Cina"
vill-1401062007,subd-140106,1401062007,"Buluh Nipis"
vill-1401062011,subd-140106,1401062011,"Tanah Merah"
vill-1401062012,subd-140106,1401062012,"Pandau Jaya"
vill-1401062013,subd-140106,1401062013,"Tanjung Balam"
vill-1401062014,subd-140106,1401062014,"Kepau Jaya"
vill-1401062015,subd-140106,1401062015,"Pangkalan Serik"
vill-1401062016,subd-140106,1401062016,"Kubang Jaya"
vill-1401071027,subd-140107,1401071027,"Lipat Kain"
vill-1401072003,subd-140107,1401072003,"Kuntu"
vill-1401072004,subd-140107,1401072004,"Padang Sawah"
vill-1401072005,subd-140107,1401072005,"Domo"
vill-1401072006,subd-140107,1401072006,"IV Koto Setingkai"
vill-1401072008,subd-140107,1401072008,"Teluk Paman"
vill-1401072013,subd-140107,1401072013,"Sungai Geringging"
vill-1401072016,subd-140107,1401072016,"Sungai Paku"
vill-1401072019,subd-140107,1401072019,"Muara Selayah (Muara Selaya)"
vill-1401072020,subd-140107,1401072020,"Sungai Rambai"
vill-1401072021,subd-140107,1401072021,"Tanjung Harapan"
vill-1401072023,subd-140107,1401072023,"Sungai Raja"
vill-1401072026,subd-140107,1401072026,"Sungai Sarik"
vill-1401072028,subd-140107,1401072028,"Lipat Kain Utara"
vill-1401072029,subd-140107,1401072029,"Lipat Kain Selatan"
vill-1401072030,subd-140107,1401072030,"Kuntu Darussalam"
vill-1401072031,subd-140107,1401072031,"Tanjungmas (Tanjung Mas)"
vill-1401072032,subd-140107,1401072032,"Sungai Harapan"
vill-1401072033,subd-140107,1401072033,"Sungailiti (Sungai Liti)"
vill-1401072034,subd-140107,1401072034,"Telukpaman Timur (Teluk Paman Timur)"
vill-1401081001,subd-140108,1401081001,"Sungai Pagar"
vill-1401082002,subd-140108,1401082002,"Mentulik"
vill-1401082003,subd-140108,1401082003,"Sungai Simpang Dua"
vill-1401082004,subd-140108,1401082004,"Sungai Bunga/Bungo"
vill-1401082005,subd-140108,1401082005,"Rantau Kasih"
vill-1401082006,subd-140108,1401082006,"Sungai Petai"
vill-1401082007,subd-140108,1401082007,"Gading Permai"
vill-1401082008,subd-140108,1401082008,"Bangun Sari"
vill-1401092001,subd-140109,1401092001,"Gema"
vill-1401092002,subd-140109,1401092002,"Tanjung Belit"
vill-1401092003,subd-140109,1401092003,"Tanjung Belit Selatan"
vill-1401092004,subd-140109,1401092004,"Koto Lama (Kota Lama)"
vill-1401092005,subd-140109,1401092005,"Batu Sanggan"
vill-1401092006,subd-140109,1401092006,"Aur Kuning"
vill-1401092007,subd-140109,1401092007,"Ludai"
vill-1401092008,subd-140109,1401092008,"Tanjung Karang"
vill-1401092009,subd-140109,1401092009,"Batu Sasak"
vill-1401092010,subd-140109,1401092010,"Pangkalan Kapas"
vill-1401092011,subd-140109,1401092011,"Kebun Tinggi"
vill-1401092012,subd-140109,1401092012,"Tanjung Beringin"
vill-1401092013,subd-140109,1401092013,"Gajah Bertalut"
vill-1401092014,subd-140109,1401092014,"Danau Sontul"
vill-1401092015,subd-140109,1401092015,"Pangkalan Serai"
vill-1401092016,subd-140109,1401092016,"Dua Sepakat"
vill-1401092017,subd-140109,1401092017,"Terusan"
vill-1401092018,subd-140109,1401092018,"Deras Tajak"
vill-1401092019,subd-140109,1401092019,"Sungai Santi"
vill-1401092020,subd-140109,1401092020,"Subayang Jaya"
vill-1401092021,subd-140109,1401092021,"Tanjung Permai"
vill-1401092022,subd-140109,1401092022,"Bukitbetung (Bukit Betung)"
vill-1401092023,subd-140109,1401092023,"Muarobio"
vill-1401092024,subd-140109,1401092024,"Lubuk Bingau"
vill-1401102001,subd-140110,1401102001,"Petapahan"
vill-1401102002,subd-140110,1401102002,"Pantai Cermin"
vill-1401102003,subd-140110,1401102003,"Patahapan Jaya (Petapahan Jaya)"
vill-1401102004,subd-140110,1401102004,"Mukti Sari"
vill-1401102005,subd-140110,1401102005,"Sei/Sungai Putih"
vill-1401102006,subd-140110,1401102006,"Indra Sakti"
vill-1401102007,subd-140110,1401102007,"Gading Sari"
vill-1401102008,subd-140110,1401102008,"Sumber Makmur"
vill-1401102009,subd-140110,1401102009,"Pancuran Gading"
vill-1401102010,subd-140110,1401102010,"Sari Galuh"
vill-1401102011,subd-140110,1401102011,"Tri Manunggal"
vill-1401102012,subd-140110,1401102012,"Air Terbit"
vill-1401102013,subd-140110,1401102013,"Tanjung Sawit"
vill-1401102014,subd-140110,1401102014,"Pagaruyung"
vill-1401102015,subd-140110,1401102015,"Sibuak"
vill-1401102016,subd-140110,1401102016,"Pelambayan (Pelambaian)"
vill-1401102017,subd-140110,1401102017,"Kinantan/Kenantan"
vill-1401102018,subd-140110,1401102018,"Indrapuri"
vill-1401102019,subd-140110,1401102019,"Sei/Sungai Lembu Makmur"
