ics,farmer_group_code,note
APKASA RAYON SKPE,ISH-1406-06,
APKASAIBER,ISH-1408-06,
APKASDU,ISH-1408-02,
APKSSB,ISH-1408-05,
APSS Sei Galuh,ISH-1401-01,
ASERMISAS,ISH-1408-04,
ASPEK Kenegerian Rokan Emas,ISH-1406-09,KRE
ASPEK RAS,ISH-1406-07,
ASPEK RSB,ISH-1406-08,
ASPEKSAB,ISH-1408-07,
FORTASKI,ISH-1401-04,
Forum Petani Sawit Swadaya Semarak Mudo,ISH-1406-04,FPSS Semarak Mudo
FPS Sei Garo,ISH-1401-05,Forum Petani Sawit - Sei Garo
Koperasi Beringin Jaya,ISH-1408-09+ISH-1408-10,"Boundary bersama KBJ & KSJ - wilayah berdekatan/sama (keputusan owner 2026-08-19); titik diatribusikan ke keduanya"
Koperasi Putera Karya Siak Jaya (KPKSJ),ISH-1408-08,KP PKSJ
Kopsa Tri Manunggal,ISH-1401-07,
KP Kusuma Bakti Mandiri,ISH-1401-06,
KPM KM,ISH-1408-01,Koperasi Produsen Mandiri - Karya Maju
KUD Hasrat Jaya,ISH-1401-03,KUD Hasrat Jaya Pagaruyung
KUD Intan Makmur,ISH-1406-02,
KUD Karya Sembada,ISH-1401-02,
KUD Mulia,ISH-1405-01,Koperasi Unit Desa Mulia (Pelalawan)
KUD Sawit Sejahtera (Sawitra),ISH-1406-03,
KUD Tujuh Permata,ISH-1406-01,
PPKS KJ,ISH-1405-11,Kepau Jaya
PPKS PBS,ISH-1401-09,PPKS - Pangkalan Baru Sejahtera
Ppkss Tayo Barokah,ISH-1406-05,
PPKSSM / APKSMB & KSJ,ISH-1408-03,"Label shapefile menyebut KSJ, tapi per owner (2026-08-19) wilayah KSJ = KBJ; APKSMB tidak ada di DB - poligon ini milik PPKSSM saja"
Teratai Sawit Lestari,ISH-1401-08,TSL
KPUD Mojopahit Jaya (Est. Boundary),ISH-1405-10,Perkiraan (Est. Boundary)
